CellID,POU5F1,SOX2,GATA2,GATA3,TBXT,EOMES,SOX17,BLIMP1,PRDM14,TFAP2C
dummyspe1_0001,145,88,45,152,179,199,142,15,118,108
dummyspe1_0002,2,76,18,183,43,91,99,109,47,185
dummyspe1_0003,90,43,142,74,172,126,89,55,65,191
dummyspe1_0004,185,46,26,192,44,101,158,153,19,68
dummyspe1_0005,38,129,164,3,135,57,63,40,98,154
dummyspe1_0006,199,87,41,112,117,137,157,82,190,116
dummyspe1_0007,143,177,30,122,71,39,149,75,183,91
dummyspe1_0008,178,20,16,32,141,61,35,94,163,187
dummyspe1_0009,34,90,54,62,21,130,108,187,40,7
dummyspe1_0010,169,99,81,150,133,19,136,97,149,181
dummyspe1_0011,66,115,124,87,40,74,31,85,96,182
dummyspe1_0012,55,11,161,73,112,159,63,130,101,67
dummyspe1_0013,72,100,190,49,57,65,56,153,8,6
dummyspe1_0014,151,25,93,41,179,9,97,117,69,54
dummyspe1_0015,103,168,15,137,5,144,185,110,59,64
dummyspe1_0016,105,142,133,47,20,81,150,183,89,78
dummyspe1_0017,68,40,56,158,112,116,36,8,170,174
dummyspe1_0018,49,188,126,150,141,180,100,22,32,19
dummyspe1_0019,137,174,183,56,92,17,54,142,71,31
dummyspe1_0020,147,115,44,63,89,112,79,4,150,186
dummyspe1_0021,9,34,113,106,193,114,145,83,133,129
dummyspe1_0022,186,7,120,97,28,187,59,16,100,19
dummyspe1_0023,25,161,67,72,93,31,147,192,71,113
dummyspe1_0024,87,100,30,45,148,88,190,60,82,158
dummyspe1_0025,114,92,105,35,74,129,126,29,15,63
dummyspe1_0026,89,80,122,58,9,68,118,46,61,125
dummyspe1_0027,70,49,95,133,178,60,96,10,83,110
dummyspe1_0028,182,22,4,159,41,183,50,146,20,117
dummyspe1_0029,131,110,28,124,76,61,89,139,108,14
dummyspe1_0030,142,144,121,73,181,158,71,23,105,134
dummyspe1_0031,33,58,174,38,138,153,88,166,77,152
dummyspe1_0032,104,86,191,47,170,44,40,81,21,93
dummyspe1_0033,143,135,71,5,163,113,95,149,67,41
dummyspe1_0034,77,189,101,145,162,10,42,97,152,72
dummyspe1_0035,46,72,116,169,9,60,82,134,63,160
dummyspe1_0036,94,11,165,84,143,139,44,114,106,77
dummyspe1_0037,124,118,90,113,151,157,62,136,59,69
dummyspe1_0038,113,157,86,179,111,130,158,105,36,24
dummyspe1_0039,73,50,111,97,104,135,168,180,26,17
dummyspe1_0040,191,88,23,27,75,122,90,84,174,55
dummyspe1_0041,58,162,98,178,50,184,177,31,153,180
dummyspe1_0042,8,116,47,56,28,147,88,115,117,38
dummyspe1_0043,109,70,14,42,67,12,52,142,118,16
dummyspe1_0044,178,34,59,62,170,100,137,65,74,163
dummyspe1_0045,90,139,122,133,31,89,108,176,94,106
dummyspe1_0046,112,145,187,7,161,74,45,157,136,142
dummyspe1_0047,41,3,164,32,190,181,142,121,150,140
dummyspe1_0048,122,59,181,187,176,145,118,58,164,153
